paper_ID,n,n_true_classes,macroF1_all4,macroF1_present,accuracy
0.0,428,4,0.4116412417324514,0.4116412417324514,0.5233644859813084
2.5,205,4,0.22895961295830405,0.22895961295830405,0.33658536585365856
65.0,106,4,0.19971941638608304,0.19971941638608304,0.2358490566037736
51.0,104,4,0.4221937321937322,0.4221937321937322,0.47115384615384615
3.3,99,4,0.4961038961038961,0.4961038961038961,0.7070707070707071
49.0,84,3,0.17105263157894737,0.2280701754385965,0.4642857142857143
69.0,72,3,0.22199271499644635,0.29599028666192845,0.3333333333333333
32.0,36,4,0.8160089910089909,0.8160089910089909,0.8055555555555556
9.0,28,4,0.48358585858585856,0.48358585858585856,0.5714285714285714
66.0,24,4,0.29642857142857143,0.29642857142857143,0.5416666666666666
74.0,24,4,0.6811188811188811,0.6811188811188811,0.7083333333333334
5.0,12,2,0.48684210526315785,0.9736842105263157,0.9166666666666666
34.0,8,2,0.5,1.0,1.0
47.0,5,2,0.16666666666666666,0.3333333333333333,0.2
4.2,4,2,0.25,0.5,0.5
0.2,2,2,0.16666666666666666,0.3333333333333333,0.5
