paper ID,desirable,keyhole,LOF,balling,Total,fraction_of_dataset
0.0,108,168,89,63,428,0.3448831587429492
2.5,74,61,65,5,205,0.1651893634165995
65.0,50,30,14,12,106,0.0854149879129734
51.0,32,23,23,26,104,0.08380338436744561
3.3,16,65,14,4,99,0.07977437550362611
49.0,8,37,39,0,84,0.06768734891216761
69.0,33,8,31,0,72,0.05801772763900081
32.0,14,8,5,9,36,0.029008863819500404
9.0,2,12,10,4,28,0.022562449637389202
66.0,12,4,3,5,24,0.019339242546333603
74.0,9,5,7,3,24,0.019339242546333603
5.0,2,10,0,0,12,0.009669621273166801
34.0,1,7,0,0,8,0.0064464141821112
47.0,3,0,2,0,5,0.0040290088638195
4.2,0,0,2,2,4,0.0032232070910556
0.2,0,1,1,0,2,0.0016116035455278
